 ,2025M01,2024M12,2024M11,2024M10,2024M09,2024M08,2024M07,2024M06,2024M05,2024M04,2024M03,2024M02,2024M01,2023M12,2023M11,2023M10,2023M09,2023M08,2023M07,2023M06,2023M05,2023M04,2023M03,2023M02,2023M01,2022M12,2022M11,2022M10,2022M09,2022M08,2022M07,2022M06,2022M05,2022M04,2022M03,2022M02,2022M01,2021M12,2021M11,2021M10,2021M09,2021M08,2021M07,2021M06,2021M05,2021M04,2021M03,2021M02,2021M01,2020M12,2020M11,2020M10,2020M09,2020M08,2020M07,2020M06,2020M05,2020M04,2020M03,2020M02,2020M01,2019M12,2019M11,2019M10,2019M09,2019M08,2019M07,2019M06,2019M05,2019M04,2019M03,2019M02,2019M01,2018M12,2018M11,2018M10,2018M09,2018M08,2018M07,2018M06,2018M05,2018M04,2018M03,2018M02,2018M01,2017M12,2017M11,2017M10,2017M09,2017M08,2017M07,2017M06,2017M05,2017M04,2017M03,2017M02,2017M01,2016M12,2016M11,2016M10,2016M09,2016M08,2016M07,2016M06,2016M05,2016M04,2016M03,2016M02,2016M01,2015M12,2015M11,2015M10
    Dato base,8.147.788,8.779.950,9.053.630,12.919.686,13.310.160,16.621.567,15.957.871,12.483.868,13.088.646,11.186.407,9.355.437,7.638.734,7.244.153,8.551.712,8.059.185,11.774.557,12.506.679,15.489.505,14.774.158,11.471.027,11.684.198,10.446.253,7.804.622,6.652.234,6.536.295,6.886.524,6.683.915,10.108.573,10.747.336,13.296.353,13.044.946,10.214.168,9.746.051,8.619.969,6.061.508,5.305.950,4.252.809,5.062.259,5.323.293,7.429.965,7.064.833,8.581.154,6.997.238,3.942.082,2.692.002,1.246.691,1.238.091,803.020,1.250.748,1.574.148,1.000.276,2.681.899,3.014.977,5.354.768,4.763.482,656.181,0,0,3.332.035,7.174.414,6.857.790,7.335.560,7.606.142,11.034.547,12.698.879,16.155.889,14.534.938,12.305.955,11.363.709,10.721.891,8.643.169,6.984.740,6.784.666,7.231.453,7.241.009,11.153.466,12.803.621,16.121.776,14.766.107,11.780.733,11.624.018,10.301.539,8.326.310,6.615.762,6.489.874,6.937.773,6.973.620,10.535.814,12.374.962,15.835.528,15.121.496,11.485.278,11.438.274,10.660.952,7.552.469,6.600.345,6.200.774,6.879.053,6.623.135,10.238.948,11.331.574,15.765.727,14.103.246,10.882.964,10.409.297,9.254.452,7.684.502,6.254.862,6.133.318,6.417.639,6.429.628,9.940.966
    Tasa de variación anual,"12,47","2,67","12,34","9,73","6,42","7,31","8,01","8,83","12,02","7,09","19,87","14,83","10,83","24,18","20,58","16,48","16,37","16,49","13,26","12,31","19,89","21,19","28,76","25,37","53,69","36,04","25,56","36,05","52,12","54,95","86,43","159,11","262,04","591,43","389,58","560,75","240,02","221,59","432,18","177,04","134,32","60,25","46,89","500,76",..,..,"-62,84","-88,81","-81,76","-78,54","-86,85","-75,70","-76,26","-66,86","-67,23","-94,67","-100,00","-100,00","-61,45","2,72","1,08","1,44","5,04","-1,07","-0,82","0,21","-1,57","4,46","-2,24","4,08","3,81","5,58","4,54","4,23","3,83","5,86","3,46","1,81","-2,35","2,57","1,62","-3,37","10,25","0,23","4,66","0,85","5,29","2,90","9,21","0,44","7,22","5,53","9,89","15,20","-1,72","5,52","1,10","7,19","3,01","3,00","7,14","3,53","7,05","7,51","4,27","5,62","10,56","6,68","3,99","3,77","4,37","5,22"
    Acumulado en lo que va de año,8.147.788,137.640.110,128.860.160,119.806.530,106.886.844,93.576.684,76.955.117,60.997.245,48.513.377,35.424.731,24.238.324,14.882.887,7.244.153,125.750.425,117.198.713,109.139.528,97.364.971,84.858.292,69.368.787,54.594.629,43.123.602,31.439.404,20.993.151,13.188.529,6.536.295,104.968.100,98.081.576,91.397.660,81.289.087,70.541.751,57.245.399,44.200.453,33.986.285,24.240.235,15.620.266,9.558.758,4.252.809,51.631.377,46.569.117,41.245.825,33.815.859,26.751.026,18.169.872,11.172.633,7.230.551,4.538.550,3.291.859,2.053.768,1.250.748,36.409.971,34.835.823,33.835.546,31.153.648,28.138.671,22.783.903,18.020.421,17.364.239,17.364.239,17.364.239,14.032.204,6.857.790,126.170.086,118.834.526,111.228.384,100.193.836,87.494.957,71.339.068,56.804.130,44.498.175,33.134.465,22.412.574,13.769.406,6.784.666,124.455.667,117.224.214,109.983.205,98.829.739,86.026.119,69.904.343,55.138.236,43.357.503,31.733.485,21.431.945,13.105.636,6.489.874,121.717.286,114.779.512,107.805.892,97.270.078,84.895.117,69.059.588,53.938.092,42.452.814,31.014.540,20.353.589,12.801.119,6.200.774,115.561.077,108.682.024,102.058.889,91.819.942,80.488.368,64.722.641,50.619.395,39.736.431,29.327.134,20.072.683,12.388.180,6.133.318, , , 
    Tasa de variación acumulada,"12,47","9,45","9,95","9,77","9,78","10,27","10,94","11,73","12,50","12,68","15,46","12,85","10,83","19,80","19,49","19,41","19,78","20,30","21,18","23,52","26,89","29,70","34,40","37,97","53,69","103,30","110,62","121,59","140,39","163,70","215,06","295,61","370,04","434,10","374,51","365,43","240,02","41,81","33,68","21,90","8,55","-4,93","-20,25","-38,00","-58,36","-73,86","-81,04","-85,36","-81,76","-71,14","-70,69","-69,58","-68,91","-67,84","-68,06","-68,28","-60,98","-47,59","-22,52","1,91","1,08","1,38","1,37","1,13","1,38","1,71","2,05","3,02","2,63","4,41","4,58","5,06","4,54","2,25","2,13","2,02","1,60","1,33","1,22","2,23","2,13","2,32","5,30","2,38","4,66","5,33","5,61","5,63","5,94","5,48","6,70","6,56","6,84","5,75","1,40","3,33","1,10","5,68","5,59","5,76","6,08","5,93","6,53","6,39","6,09","6,75","7,28","5,33","3,99", , , 
Turista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Dato base,5.065.094,5.264.375,5.670.219,8.961.932,9.602.015,10.929.584,10.852.347,9.299.574,9.255.985,7.783.750,6.350.471,5.013.497,4.775.549,5.209.085,5.135.498,8.187.022,8.795.425,10.186.163,10.116.916,8.307.460,8.300.384,7.228.094,5.247.341,4.320.665,4.134.995,4.127.293,4.334.651,7.176.984,7.767.211,8.848.665,9.091.390,7.498.156,6.988.353,6.106.316,4.039.532,3.179.288,2.501.443,2.947.525,3.361.913,5.148.820,4.703.933,5.196.520,4.398.992,2.216.356,1.363.164,629.206,491.427,284.974,437.973,648.989,456.814,1.020.773,1.138.868,2.440.978,2.464.779,204.272,0,0,1.997.262,4.427.344,4.133.024,4.304.741,4.655.021,7.587.749,8.845.152,10.118.366,9.873.270,8.833.893,7.919.204,7.146.033,5.649.577,4.380.504,4.195.641,4.354.798,4.536.873,7.649.860,8.932.308,10.175.761,10.020.246,8.554.306,8.086.048,6.780.378,5.393.186,4.218.047,4.106.601,3.982.530,4.392.575,7.269.931,8.877.270,10.397.745,10.493.438,8.431.975,8.002.648,7.081.594,4.913.943,4.119.137,3.905.736,3.990.446,4.098.262,7.137.723,7.932.607,10.027.471,9.545.792,7.552.758,7.111.154,6.086.327,4.627.206,3.678.726,3.526.537,3.512.914,3.754.802,6.432.341
    Tasa de variación anual,"6,06","1,06","10,41","9,47","9,17","7,30","7,27","11,94","11,51","7,69","21,02","16,04","15,49","26,21","18,48","14,07","13,24","15,12","11,28","10,79","18,77","18,37","29,90","35,90","65,30","40,03","28,93","39,39","65,12","70,28","106,67","238,31","412,66","870,48","722,00","1.015,64","471,14","354,17","635,95","404,40","313,04","112,89","78,47","985,00",..,..,"-75,39","-93,56","-89,40","-84,92","-90,19","-86,55","-87,12","-75,88","-75,04","-97,69","-100,00","-100,00","-64,65","1,07","-1,49","-1,15","2,60","-0,81","-0,98","-0,56","-1,47","3,27","-2,06","5,39","4,75","3,85","2,17","9,35","3,29","5,23","0,62","-2,13","-4,51","1,45","1,04","-4,25","9,75","2,40","5,14","-0,20","7,18","1,85","11,91","3,69","9,93","11,64","12,54","16,35","6,20","11,97","10,75","13,59","9,15","10,97","9,52","6,34","9,99","12,89","8,19","11,59","15,45","13,95","11,04","7,92","10,56","8,89"
    Acumulado en lo que va de año,5.065.094,93.759.297,88.494.922,82.824.703,73.862.771,64.260.756,53.331.172,42.478.825,33.179.251,23.923.266,16.139.516,9.789.046,4.775.549,85.169.050,79.959.965,74.824.467,66.637.444,57.842.019,47.655.855,37.538.939,29.231.479,20.931.095,13.703.001,8.455.660,4.134.995,71.659.281,67.531.989,63.197.338,56.020.354,48.253.143,39.404.478,30.313.089,22.814.932,15.826.580,9.720.263,5.680.731,2.501.443,31.180.802,28.233.277,24.871.364,19.722.543,15.018.611,9.822.091,5.423.099,3.206.743,1.843.579,1.214.373,722.947,437.973,18.933.103,18.284.113,17.827.299,16.806.526,15.667.658,13.226.680,10.761.901,10.557.629,10.557.629,10.557.629,8.560.367,4.133.024,83.509.153,79.204.413,74.549.391,66.961.642,58.116.490,47.998.124,38.124.854,29.290.961,21.371.757,14.225.723,8.576.146,4.195.641,82.808.413,78.453.616,73.916.743,66.266.882,57.334.574,47.158.813,37.138.567,28.584.261,20.498.213,13.717.834,8.324.648,4.106.601,81.868.522,77.885.991,73.493.416,66.223.486,57.346.216,46.948.471,36.455.033,28.023.059,20.020.410,12.938.816,8.024.873,3.905.736,75.315.008,71.324.562,67.226.301,60.088.578,52.155.971,42.128.500,32.582.708,25.029.951,17.918.796,11.832.469,7.205.263,3.526.537, , , 
    Tasa de variación acumulada,"6,06","10,09","10,67","10,69","10,84","11,10","11,91","13,16","13,51","14,30","17,78","15,77","15,49","18,85","18,40","18,40","18,95","19,87","20,94","23,84","28,12","32,25","40,97","48,85","65,30","129,82","139,19","154,10","184,04","221,29","301,18","458,96","611,47","758,47","700,43","685,77","471,14","64,69","54,41","39,51","17,35","-4,14","-25,74","-49,61","-69,63","-82,54","-88,50","-91,55","-89,40","-77,33","-76,92","-76,09","-74,90","-73,04","-72,44","-71,77","-63,96","-50,60","-25,78","-0,18","-1,49","0,85","0,96","0,86","1,05","1,36","1,78","2,66","2,47","4,26","3,70","3,02","2,17","1,15","0,73","0,58","0,07","-0,02","0,45","1,88","2,00","2,39","6,02","3,74","5,14","8,70","9,20","9,32","10,21","9,95","11,44","11,88","11,96","11,73","9,35","11,38","10,75","10,46","10,29","10,36","10,29","10,41","11,42","11,85","11,54","12,93","13,64","12,50","11,04", , , 
Excursionista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Dato base,3.082.694,3.515.575,3.383.411,3.957.754,3.708.145,5.691.983,5.105.524,3.184.295,3.832.660,3.402.658,3.004.966,2.625.237,2.468.604,3.342.627,2.923.687,3.587.535,3.711.254,5.303.341,4.657.242,3.163.566,3.383.814,3.218.159,2.557.281,2.331.569,2.401.300,2.759.232,2.349.264,2.931.589,2.980.125,4.447.688,3.953.556,2.716.012,2.757.698,2.513.652,2.021.975,2.126.661,1.751.366,2.114.734,1.961.380,2.281.145,2.360.901,3.384.634,2.598.247,1.725.726,1.328.838,617.485,746.664,518.046,812.775,925.159,543.462,1.661.125,1.876.109,2.913.790,2.298.703,451.909,0,0,1.334.774,2.747.071,2.724.766,3.030.820,2.951.121,3.446.798,3.853.727,6.037.523,4.661.668,3.472.062,3.444.505,3.575.857,2.993.591,2.604.236,2.589.024,2.876.655,2.704.136,3.503.605,3.871.312,5.946.015,4.745.861,3.226.426,3.537.970,3.521.161,2.933.123,2.397.715,2.383.273,2.955.243,2.581.046,3.265.883,3.497.692,5.437.784,4.628.058,3.053.304,3.435.625,3.579.358,2.638.526,2.481.208,2.295.038,2.888.607,2.524.873,3.101.225,3.398.967,5.738.256,4.557.454,3.330.206,3.298.143,3.168.124,3.057.296,2.576.136,2.606.782,2.904.724,2.674.826,3.508.624
    Tasa de variación anual,"24,88","5,17","15,72","10,32","-0,08","7,33","9,63","0,66","13,26","5,73","17,51","12,60","2,80","21,14","24,45","22,38","24,53","19,24","17,80","16,48","22,70","28,03","26,47","9,64","37,11","30,48","19,78","28,51","26,23","31,41","52,16","57,38","107,53","307,08","170,80","310,52","115,48","128,58","260,90","37,33","25,84","16,16","13,03","281,87",..,..,"-44,06","-81,14","-70,17","-69,47","-81,58","-51,81","-51,32","-51,74","-50,69","-86,98","-100,00","-100,00","-55,41","5,48","5,24","5,36","9,13","-1,62","-0,45","1,54","-1,77","7,61","-2,64","1,55","2,06","8,61","8,63","-2,66","4,77","7,28","10,68","9,35","2,55","5,67","2,98","-1,63","11,17","-3,37","3,84","2,31","2,22","5,31","2,90","-5,24","1,55","-8,31","4,17","12,98","-13,70","-3,68","-11,96","-0,55","-5,61","-11,61","1,96","-1,04","1,36","-2,99","-3,29","-4,22","3,91","-2,22","-4,24","-0,84","-3,24","-0,91"
    Acumulado en lo que va de año,3.082.694,43.880.813,40.365.238,36.981.827,33.024.073,29.315.928,23.623.945,18.518.421,15.334.126,11.501.465,8.098.808,5.093.841,2.468.604,40.581.375,37.238.748,34.315.061,30.727.527,27.016.273,21.712.932,17.055.690,13.892.124,10.508.309,7.290.150,4.732.869,2.401.300,33.308.819,30.549.587,28.200.322,25.268.733,22.288.608,17.840.921,13.887.364,11.171.353,8.413.655,5.900.003,3.878.027,1.751.366,20.450.574,18.335.840,16.374.461,14.093.316,11.732.415,8.347.781,5.749.534,4.023.808,2.694.970,2.077.485,1.330.821,812.775,17.476.868,16.551.709,16.008.247,14.347.121,12.471.013,9.557.222,7.258.520,6.806.611,6.806.611,6.806.611,5.471.837,2.724.766,42.660.933,39.630.113,36.678.992,33.232.194,29.378.466,23.340.944,18.679.276,15.207.214,11.762.709,8.186.851,5.193.260,2.589.024,41.647.253,38.770.598,36.066.462,32.562.857,28.691.545,22.745.530,17.999.669,14.773.242,11.235.272,7.714.111,4.780.988,2.383.273,39.848.764,36.893.521,34.312.476,31.046.593,27.548.901,22.111.117,17.483.059,14.429.755,10.994.130,7.414.772,4.776.246,2.295.038,40.246.069,37.357.461,34.832.589,31.731.364,28.332.397,22.594.141,18.036.687,14.706.481,11.408.338,8.240.214,5.182.917,2.606.782, , , 
    Tasa de variación acumulada,"24,88","8,13","8,40","7,77","7,47","8,51","8,80","8,58","10,38","9,45","11,09","7,63","2,80","21,83","21,90","21,68","21,60","21,21","21,70","22,81","24,35","24,90","23,56","22,04","37,11","62,87","66,61","72,22","79,30","89,97","113,72","141,54","177,63","212,20","184,00","191,40","115,48","17,02","10,78","2,29","-1,77","-5,92","-12,65","-20,79","-40,88","-60,41","-69,48","-75,68","-70,17","-59,03","-58,23","-56,36","-56,83","-57,55","-59,05","-61,14","-55,24","-42,13","-16,86","5,36","5,24","2,43","2,22","1,70","2,06","2,39","2,62","3,78","2,94","4,69","6,13","8,62","8,63","4,51","5,09","5,11","4,88","4,15","2,87","2,95","2,38","2,19","4,04","0,10","3,84","-0,99","-1,24","-1,49","-2,16","-2,77","-2,14","-3,07","-1,88","-3,63","-10,02","-7,85","-11,96","-2,24","-2,36","-2,12","-1,08","-1,43","-1,53","-2,24","-2,07","-1,71","-0,71","-3,24","-4,24", , , 